mol,smiles,fingerprint
mol21,C(=O)(NC1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=CC(=CC=1OC)OC,0000000000000001000000000000000001000000010000000000000000000000100000000100100010000000000000000000000010000000000000000000000010000000000000000000000000000000000001000000000000000000100000010000000001000000000000001000000010000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000001000100000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000010000000000000010000000010000000000000000000000000000000000110000000100000000000000100000011000000000000000000000000000000000000000000000000000000100000000001000000000000001000000000000000000000000000000000101000001001000000000001010000000010000000000000000010000000100000000000000000000001000000000000000000000101000000000000100000000000000000000000000000000000000000000000000000000000000
mol22,C1(C(=O)OC2CCCCCCC2)=C(C)NC(NC1C1C=CC2=C(OCO2)C=1)=O,0010100000010000000000000000000001001000000000010000000000000001000000000000000000000000001000000000001000000000000000010001000000000000000000000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000010000000000100000000000000000000000000000010000000000000000000000000000010000000000010000000000000000000000000000000000000000011000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000010000010000000000000000000000000000000000000010010000000000000000000000000001000000000001000000000000000000000000000000000000010010000100000000000000000000001000000001000000000000000000000010000000001000000000000000000000000010000010000000010010000000000000000000000000000000011000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000
mol23,C(=O)(NC1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=C(OC)C=CC=1OC,0000000000000001000000000010000001000000010000000000000000000000100000000000100010000000000000100000000010000000000000000000000010000000000000000000000000000000000001000000000000000000100000010000000001000010000000001000000001000000000000000000000001000000000000000000000000000000000000000000000010000000000000000000001000100000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000110000000100000000000000100000011000000000000000000000000000000000000000000000000000000100000000001000000000000001000000000000000000000000000000000101000001001000000000001000000000010000000000000000010000000100000000000000000000001000000000000000000000101000000000000100000000000000000000000000000000000000000000000000000000000000
mol24,N1(C2=CC=C(C=C2)OC)C(=O)CC(N(CCC2C=CC=CC=2)C(CCC(O)=O)=O)C1=O,0000010000000000000001000000000001000000001000000000000000000000100000000100000010000000000000000000000000000000000000000000000000000000000000000000000010000001000001000000000100000000000000000000000000000000000000100001000000000001110000000000000000000000000000010000000000000000000000000000000000000000000000000010000000100000000010000000000000000000000010000000000000010000000000000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000010001000000000000010000100000001000100001000000000001000000000000000000000000000000000100000000000000001001000001000010000000000000000001000000000100000001000000000000000000000000000000010000000000010000000000000000000000000000000011000000010000000000000000000000000000000100000000000000000000000000000100000000000000000000010000
mol25,N(=C1/CCCCCCCCCCC/1)\NC(CC1C=CC(=CC=1)C)=O,0010100000000000000000000000000001000000010000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000000000000100000001000000100000000000000100000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000000001000000000011000100000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000100000001000010000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000
mol26,C1(SC(CC)C(=O)NC2=CC=C(C=C2)Cl)SC2=C(C=CC(N)=C2)N=1,0100000000000000000000000000000001000000000000100000010000000000000000000100000010000000000000000000000000000000000010000000000010000000000000001001000000100000001000000100000000000000000000010000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000010100000000000000000000000000000100000010001000000000001000000000000000000000000000000000000000000000000000000000000000000100001010010000000010000000000000001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000001010000001000000000000001000000000001000001100000000000000000000000010000000001001000010000000000000000000000000000000000000000000001000000000000000100000100000000000000000000000000000000000001000000000000000000000000
mol27,C1(C=C(Cl)C=CC=1OC)C(=O)NC1C=CC(=CC=1)C#N,0000000000000000000000000000000001100000000000000000010000000000000000000000000000000000000000100000001000000000100000000000000010000000000000000000000000000000000001000000000000000000000000010000000000000000000000001000000000000000000100000000000001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000100010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000010000000000000000000010000000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000101000000000000001000000001000000000000000000000000101000101000000000000000000000000010000000000000000010000000000000000000000000000000000001000000000000000100000001000000000000100000000000000000000000000000000000000000000000000000000
mol28,C(=O)(N/N=C/C1C=CC(=CC=1)OCC1=CC=C(C=C1)Cl)C1=CC=C(C=C1)N(C)C,0000000000000000000000000100000001000000000000100000000000000000000000001000000010000000000000000000001000010000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000001100000001000100000000000000000000000000000000110000100000000000000000000000010000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010001000010000000000000100100000000000000000110000000000000000000000100000011000100000010000000100000000000000000000000000000000000000000000000000000000000001000000001000000000000000000000000001000001000000000000001000000000000000010000000000010000000000000000000000000000001000000000000000000000000000000000001000000010000000000000000000000000000000000000000100000000100000
mol29,C1(C=C(OC)C(=CC=1N(=O)=O)OC)C(=O)NC1=NN=C(CC(C)(C)C)S1,0000000000000000000000000000000011000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000010000000000010000000000000000000001000000001000000000000000000000000000000000000000000000000010000000000000000100100000001010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000001000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000010000000000000010000000000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000001000000010000000000010000000000000000000110000000000000000000000000000000000001000000000000000000000000000000000000001001000000000001000000000000000000000000000000100100000101000000000000000000000000010000000000001000010000000000000000100000000000000000000000000001000000100000000000000000000100000000000000000000000000000100000000000000000000001000
mol30,C1(SC2=C(C=CC=C2)N=1)NC(=O)C1=CC=C2C(OCCO2)=C1,0000000000010000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000010000000000000000000000000001000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000010000000000000000000000000000000000000010000100000000000000001000000100000000000000000000000000000000000000000000000000000001000000000000000000010000000000000000000000001000000000000000000100000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000010000010000000000000000101000000000000000000000000000000000000000010000000001000000000001000000000000000000000000000000001000000000000000000001000000000000001000000000000000000000001000010000000000001000000000000000000000000010000010001000000010001000000000000000000000000000010000000000000000000000010000000000000000000000000000010000000000000000000000000000000000000000000
