mol,smiles,fingerprint
mol271,C(OCC1C=CC(=CC=1)OC)(=O)N/N=C(\C)/CC(=O)NC1C=CC=C(Cl)C=1,0000000000000001000000000000000001000000010000000000000000000000100000000000000010000000000000000000000010000000000000000000000010000000000000000001000000000000000001000000000000000000100000010000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000100000001000100000000010000101000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000010000100100000000000000100000011000100110000000000100000000000000000000000000000000000100000000001000000000000001000000000000000000000001000000000100000001000000000000000000000000010000000000000010010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000
mol272,C1(/C2C=CC=CC=2N(C(C)(C)C/1=S)C(C(CC)CC)=O)=C1/SC(=C(C(OC)=O)S/1)C(OC)=O,0100000000000000000000000000000001001000000000000000000000000000100000000000000010000000000000000100000000001000000000000000000010000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000100000000000001000000101000000000000001000000000000000000000010000000000000000000100010000000000000000000001000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000100000000000000000000000010010000000000000000000000010000000000000000000000001000000000000000001010000000000000000000000000000001000000000000000000010000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000100001001000100000000000000001000000000000000000000010000000000001000001000000000000000000000010000000000010000000000000000000000000000000000001000000000000000010000001000000000001000
mol273,S(=O)(=O)(N1CCOCC1)C1=C(OC)C=CC(OC)=C1,0000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000010000010000000001000000000000001000000000010000000000000000000000001000000000000000000000000000000000010001000000000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000001000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000010000000000000000000000000000000010000010000000000000000000000100000001000000000000000000000000000000000000000000000000000000100000000000000000010000000000000000000000000000000000000000100000001000000000000000000000000010000000000000000000000000000000000000000000000000010000000010000000000101010000000000000000000000000000000000000000000000000100000000000000000000000
mol274,N1(CC2C=CC=CC=2)C2C=CC=CC=2C(C=NNC(=O)C2=CN=CC(Br)=C2)=C1,0000010000000000000000000000000000000000001001000000000000000000100000000000000010000000000000000000000000000000000000000000000010011000000000100000000000000000000000000000000100000000000000000000000001000000000000000000000000000001000000000000000000000000000001000000000000000000000000000000001000000000100000000000001000000000000001000000000000000000000010000100000000000000001000000010010000000000000000000000000000000000000000010000000000000000000000010000000010000000000000010000001000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000001000000000000000000000000000100000000000000000000000000000000000000000010000000010000000000000000000000000000000000100000000000000000000000000000011010100000000001000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000001000000000000001000000000010000000000000000010000000000001001000000000000001000000000010010000000000000100000000100000010000000000000000000000000000000000000000000000000000000
mol275,C(=O)(NC1=CC=CC=C1C)C(=O)NC(C)C1C=CC=CC=1,0100000000000000000000000000000001000000000000000000000000000000100000001000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000100000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000001010000000100000000000000000000000000000000000000000000000000000000010000000000000010000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000000100000000000011000000000000000000000000010000000000000000000000000001000000000000000000010000000000000000000000000000000000000010000001000000000000001000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000
mol276,C1(=CC2C(=CC=CC=2)N1)C(=O)N/N=C(\C1C=CC=CC=1)/C1C=CC=CC=1,0000000000000000000000000010000000000000000000000000100000000001100010000000000000000000001000010000000000000000000000010000000010000000000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000010000100000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000010000000000000000000000000000000100000000000000000000100011000000000000000000000000000000001000000000000000000000000000000000100000000000001000000000000000000000001000000000000000001000010000000000000000000010000000000100000010000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000
mol277,C(=O)(N/N=C(\C)/CC(=O)NCC1C=CC=CC=1)C(NCCOC)=O,0000000000000100000000000000000001000000011000000000000000000000100000000000000010000000000000000000000000000000000000000000000010000000000000001000000000000000000000000000000100000000001000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000001000000000000001000001000000000000000010000000000000000000000000000000010000000000000000010000100000000000000000000000000000000000000000010000000000000000000000000000001000000000000000010000000000000010000000000000000000000000000001000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000001000000000100000000000000000000000000010000100000000000000000000000011000100000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000100000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000001000000
mol278,C1(N=C(C)C=C(C)N=1)SC1C2=CC=CC=C2C(=NN=1)C1=CC=CC=C1,0000000000000000000000000000000011000000000000000000001000000010100000000000000000000000000000000000000000000000100010000001000000000000100010000000000000000000000000000000000100000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000001000000000000000000000010000000000000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000000000000100000000000000000000000000000000000000000000000100001001000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000001000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000
mol279,N1(C2C=CC(=CC=2)C)C(SCC(=O)NN=C(C)C2=CC=CC(=C2)N(=O)=O)=NN=C1C1C=CC=CC=1,0000000000000001000000000000000001000000010000000000000000100000100000000000000010000000000000000000000000000000000010000000000010000000100010000000000000000000000000010001000100000000000000000000000000000000000000000000000100000000010100000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010000000000100010000100000000000000001000001000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000010110000100000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010100000000000000100000000011000010000100000000001000001000000000000000000000000000000010000000000000101000001000000000000000000000000000000100000000101000000000000000000000000010000000000000000010010000000000000000000100000000000000000010001100000000000000000000100000001000000000000000000000000000100000000000000000001000000
mol280,S(C1=CC=CC=C1)(=O)(=O)N(C1C=CC(=CC=1)OC)CC(=O)N/N=C/C1C=CC(=CC=1)OCC1=CC=C(C=C1)N(=O)=O,0000000000000000000000000100000001000000010000000000000000000000101000001000000010000000000000000000001000010000000000000000000010000000000000000000000000000000000000100001000100000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000001100000001100100000000000000000000000000010000010000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000010000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010001000001000000000000000000000000000000000110000000000000000000100100000011000100000000000000100000001000000000000000100000000000100010000100000010000000001000000010000000000000001000000100101000001001000000000001000000010000000010000000000010000000000000000000000000000101000000000000001000000000000000000001000000000000000000000000000000000000000000000000100000000100000
