i,j,tanimoto
mol501,mol555,0.09090909090909091
mol501,mol556,0.10975609756097561
mol501,mol557,0.09302325581395349
mol501,mol558,0.13725490196078433
mol501,mol559,0.13043478260869565
mol501,mol560,0.20481927710843373
mol501,mol561,0.1
mol501,mol562,0.14285714285714285
mol501,mol563,0.22972972972972974
mol501,mol564,0.17142857142857143
mol501,mol565,0.12222222222222222
mol501,mol566,0.1282051282051282
mol501,mol567,0.11688311688311688
mol501,mol568,0.1134020618556701
mol501,mol569,0.14606741573033707
mol501,mol570,0.11904761904761904
mol501,mol571,0.2222222222222222
mol501,mol572,0.125
mol501,mol573,0.0963855421686747
mol501,mol574,0.08433734939759036
mol501,mol575,0.10843373493975904
mol501,mol576,0.11392405063291139
mol501,mol577,0.20588235294117646
mol501,mol578,0.27419354838709675
mol501,mol579,0.1518987341772152
mol501,mol580,0.1518987341772152
mol501,mol581,0.12941176470588237
mol501,mol582,0.13095238095238096
mol501,mol583,0.11904761904761904
mol501,mol584,0.13924050632911392
mol501,mol585,0.1518987341772152
mol501,mol586,0.15294117647058825
mol501,mol587,0.21839080459770116
mol501,mol588,0.11764705882352941
mol501,mol589,0.07317073170731707
mol501,mol590,0.15789473684210525
mol501,mol591,0.08602150537634409
mol501,mol592,0.18421052631578946
mol501,mol593,0.1518987341772152
mol501,mol594,0.18518518518518517
mol501,mol595,0.13402061855670103
mol501,mol596,0.1388888888888889
mol501,mol597,0.16883116883116883
mol501,mol598,0.1282051282051282
mol501,mol599,0.14444444444444443
mol501,mol600,0.0963855421686747
mol501,mol601,0.1
mol501,mol602,0.20253164556962025
mol501,mol603,0.11627906976744186
mol501,mol604,0.09859154929577464
mol501,mol605,0.16666666666666666
mol501,mol606,0.10843373493975904
mol501,mol607,0.24615384615384617
mol501,mol608,0.0684931506849315
mol501,mol609,0.13580246913580246
mol501,mol610,0.16923076923076924
mol501,mol611,0.0989010989010989
mol501,mol612,0.15714285714285714
mol501,mol613,0.16455696202531644
mol501,mol614,0.12162162162162163
mol501,mol615,0.10344827586206896
mol501,mol616,0.14492753623188406
mol501,mol617,0.10344827586206896
mol501,mol618,0.13253012048192772
mol501,mol619,0.17333333333333334
mol501,mol620,0.13333333333333333
mol501,mol621,0.12359550561797752
mol501,mol622,0.13793103448275862
mol501,mol623,0.17647058823529413
mol501,mol624,0.208955223880597
mol501,mol625,0.10975609756097561
mol501,mol626,0.273972602739726
mol501,mol627,0.16049382716049382
mol501,mol628,0.17567567567567569
mol501,mol629,0.10975609756097561
mol501,mol630,0.1282051282051282
mol501,mol631,0.18181818181818182
mol501,mol632,0.21428571428571427
mol501,mol633,0.12643678160919541
mol501,mol634,0.22388059701492538
mol501,mol635,0.14285714285714285
mol501,mol636,0.1282051282051282
mol501,mol637,0.10588235294117647
mol501,mol638,0.1511627906976744
mol501,mol639,0.10465116279069768
mol501,mol640,0.14705882352941177
mol501,mol641,0.14942528735632185
mol501,mol642,0.1891891891891892
mol501,mol643,0.09302325581395349
mol501,mol644,0.1791044776119403
mol501,mol645,0.225
mol501,mol646,0.1111111111111111
mol501,mol647,0.13333333333333333
mol501,mol648,0.18181818181818182
mol501,mol649,0.10112359550561797
mol501,mol650,0.14084507042253522
mol501,mol651,0.10869565217391304
mol501,mol652,0.12857142857142856
mol501,mol653,0.05813953488372093
mol501,mol654,0.10975609756097561
