mol,smiles
mol69,C12SSC(=S)C=1C1=C(C(C)=CC=C1)N(C(=O)COC1=CC=C3C(C=CC=C3)=C1)C2(C)C
mol70,S(C1=CC=CC=C1)(=O)(=O)N(CC(=O)N/N=C/C1C=CC(=CC=1)OCC1C=CC(=CC=1)N(=O)=O)C1C=CC=CC=1OC
mol71,C12(SC(=C(C(OC)=O)S1)C(OC)=O)C(C(OC)=O)=C(C(OC)=O)SC1C(N(C(CCC3CCCCC3)=O)C3C=C(C)C=CC=3C2=1)(C)C
mol72,N(/C1=CC=C(C=C1)OC)=C\C1C=CC(=CC=1)OCC1=CC=C(C=C1)Cl
mol73,C(CCCC1=CC=CC=C1)(=O)NC1CCCC1
mol74,N(=O)(=O)C1C=CC(=CC=1)COC1C=CC(=CC=1)/C=N/NC(=O)CC#N
mol75,C1(=NC2C=CC=C(C=2)C(O)=O)SC(C(=O)N1C)=CC1=CC=C(C(OC)=C1)O
mol76,C(C(NCC=C)=O)C(=O)N/N=C/C1C=CC=C(OC)C=1
mol77,C(=O)(OC1C=CC(=CC=1OC)C=NNC(NCC)=S)C1=CC=CS1
mol78,N(=O)(=O)C1=CC=CC2=C(C=CC=C12)C(=O)NC(C(=O)OCC1C=CC=CC=1)CC(OCC1C=CC=CC=1)=O
mol79,N1(CC2=CC=CN=C2)C(=O)C(SC1=NC1C=CC=CC=1)=CC1C2C=CC=CC=2NC=1
mol80,C1(=CC2C3C=CC=CC=3C=CC=2OC1=O)C1SC=C(C2=CC=CC=C2)N=1
mol81,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1C=CC(=CC=1)/C=N/NC(=O)C1=CC=CC=C1O)C(=O)OC1C=CC(=CC=1)/C=N/NC(=O)C1=CC=CC=C1O
mol82,N(C(=O)C1=CC=CC(C)=C1)C(=S)NC1=CC=C(C=C1)C(C)=O
mol83,N(=O)(=O)C1C=CC(=CC=1)COC1C=CC(=CC=1)/C=N/NC(CSCC1=CC=CC(Cl)=C1)=O
mol84,N1C(N2CCCC2)=NC(=NC=1N1CCCC1)NN=CC1=CC(Cl)=CC=C1OCC1C=CC=C2C=CC=CC=12
mol85,S(C1C=CC=CC=1)(=O)(=O)N(C1=CC=C(C(Cl)=C1)C)CC(=O)N/N=C/C1C=CC(=C(Br)C=1)N(C)C
mol86,C1(C#N)C(C2C=CN=CC=2)C2C=CC3=C(N=CC=C3)C=2OC=1N
mol87,N(/C1=CC=CC(C)=C1)=C\C1=CC=C(C=C1)OCC1C=CC=CC=1
mol88,S(C1=CC=CC=C1)(=O)(=O)N(C1C=CC(=CC=1)OC)CC(=O)N/N=C/C1C=CC(=C(Br)C=1)N(C)C
mol89,N1=C(N2CCOCC2)N=C(N=C1N1CCOCC1)NNC(=S)NC1CCCCC1
mol90,N(/C1=CC=CC(C)=C1)=C\C1C=CC(=CC=1)OCC1C=CC=CC=1Cl
mol91,S(C1C=CC=CC=1)(=O)(=O)N(C1=CC=C(C=C1)C(C)C)CC(=O)N/N=C/C1C=CC(=C(Br)C=1)N(C)C
mol92,C(=O)(N/N=C/C1C=CC=C(OC)C=1)C1=CC=C(C(OC)=C1)OC
mol93,S(C1=CC=CC=C1)(=O)(=O)N(C1=CC=CC(Cl)=C1)CC(=O)N/N=C/C1C=CC(=C(Br)C=1)N(C)C
mol94,C(=O)(OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)/N=C\C1C=CC(=CC=1)OC(=O)/C=C\C1=CC=C(C=C1)Br)/C=C/C1=CC=C(C=C1)Br
mol95,C(=O)(N/N=C/C1C=CC=C(OC)C=1OC)C(=O)NCC1C=CC(=CC=1)Cl
mol96,S(C1C=CC=CC=1)(=O)(=O)N(CC(=O)N/N=C/C1C=CC(=C(Br)C=1)N(C)C)C1C=CC=CC=1OC
mol97,C1(NNC(=O)C2C=CC(=CC=2)O)OC(C)C(C(O)C1O)O
mol98,S(=O)(=O)(C1C=CC(=CC=1)N(=O)=O)N(C)CC(=O)OCC(C1=CC=CC=C1)=O
mol99,C(=O)(/C=C/C1C=CC(=CC=1)Br)OC1=CC=CC=C1/C=N\C1C=CC(=CC=1)/N=C/C1=CC=CC=C1OC(=O)/C=C/C1C=CC(=CC=1)Br
mol100,C1(OC2=C(C=CC=C2)N=1)C1=CC(=CC=C1Cl)NC(=S)NC(=O)C=CC1=CC=CC(=C1)N(=O)=O
mol101,N(=O)(=O)C1=CC=CC(=C1)/C=N/NC(CSCC1C=CC(=CC=1)N(=O)=O)=O
mol102,N#CC1C=CC(=CC=1)C(C)=O
mol103,N(=C/C1=CC=C(C=C1)OC(=O)/C=C/C1=CC=C(C=C1)Br)\C1=CC=CC(C)=C1C
mol104,N(=O)(=O)C1=CC=CC=C1/C=N/NC(CSCC1C=CC(=CC=1)N(=O)=O)=O
mol105,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1C=CC=C(Br)C=1
mol106,N(=C/C1=CC=C(C=C1)OC(=O)/C=C/C1C=CC(=CC=1)Br)\C1=CC(C)=CC=C1C
mol107,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1=CC=C(C=C1)/N=N\C1=CC=CC=C1)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)/N=N\C1C=CC=CC=1
